Exchange,ISIN,Lotsize,Symbol,Tradingsymbol,Instrument,Expiry,Strike,Optiontype
NSE,INE002S01010,1,MGL,MGL-EQ,EQ,,,
NSE,INE003A01024,1,SIEMENS,SIEMENS-EQ,EQ,,,
NSE,INE006I01046,1,ASTRAL,ASTRAL-EQ,EQ,,,
NSE,INE00R701025,1,DALBHARAT,DALBHARAT-EQ,EQ,,,
NSE,INE010B01027,1,ZYDUSLIFE,ZYDUSLIFE-EQ,EQ,,,
NSE,INE010V01017,1,LTTS,LTTS-EQ,EQ,,,
NSE,INE012A01025,1,ACC,ACC-EQ,EQ,,,
NSE,INE016A01026,1,DABUR,DABUR-EQ,EQ,,,
NSE,INE018E01016,1,SBICARD,SBICARD-EQ,EQ,,,
NSE,INE020B01018,1,RECLTD,RECLTD-EQ,EQ,,,
NSE,INE022Q01020,1,IEX,IEX-EQ,EQ,,,
NSE,INE028A01039,1,BANKBARODA,BANKBARODA-EQ,EQ,,,
NSE,INE042A01014,1,ESCORTS,ESCORTS-EQ,EQ,,,
NSE,INE048G01026,1,NAVINFLUOR,NAVINFLUOR-EQ,EQ,,,
NSE,INE053A01029,1,INDHOTEL,INDHOTEL-EQ,EQ,,,
NSE,INE066F01020,1,HAL,HAL-EQ,EQ,,,
NSE,INE079A01024,1,AMBUJACEM,AMBUJACEM-EQ,EQ,,,
NSE,INE085A01013,1,CHAMBLFERT,CHAMBLFERT-EQ,EQ,,,
NSE,INE092A01019,1,TATACHEM,TATACHEM-EQ,EQ,,,
NSE,INE092T01019,1,IDFCFIRSTB,IDFCFIRSTB-EQ,EQ,,,
NSE,INE093I01010,1,OBEROIRLTY,OBEROIRLTY-EQ,EQ,,,
NSE,INE094A01015,1,HINDPETRO,HINDPETRO-EQ,EQ,,,
NSE,INE100A01010,1,ATUL,ATUL-EQ,EQ,,,
NSE,INE101D01020,1,GRANULES,GRANULES-EQ,EQ,,,
NSE,INE102D01028,1,GODREJCP,GODREJCP-EQ,EQ,,,
NSE,INE111A01025,1,CONCOR,CONCOR-EQ,EQ,,,
NSE,INE112L01020,1,METROPOLIS,METROPOLIS-EQ,EQ,,,
NSE,INE113A01013,1,GNFC,GNFC-EQ,EQ,,,
NSE,INE114A01011,1,SAIL,SAIL-EQ,EQ,,,
NSE,INE115A01026,1,LICHSGFIN,LICHSGFIN-EQ,EQ,,,
NSE,INE119A01028,1,BALRAMCHIN,BALRAMCHIN-EQ,EQ,,,
NSE,INE121A01024,1,CHOLAFIN,CHOLAFIN-EQ,EQ,,,
NSE,INE121J01017,1,INDUSTOWER,INDUSTOWER-EQ,EQ,,,
NSE,INE124G01033,1,DELTACORP,DELTACORP-EQ,EQ,,,
NSE,INE127D01025,1,HDFCAMC,HDFCAMC-EQ,EQ,,,
NSE,INE129A01019,1,GAIL,GAIL-EQ,EQ,,,
NSE,INE134E01011,1,PFC,PFC-EQ,EQ,,,
NSE,INE139A01034,1,NATIONALUM,NATIONALUM-EQ,EQ,,,
NSE,INE140A01024,1,PEL,PEL-EQ,EQ,,,
NSE,INE148I01020,1,IBULHSGFIN,IBULHSGFIN-EQ,EQ,,,
NSE,INE160A01022,1,PNB,PNB-EQ,EQ,,,
NSE,INE169A01031,1,COROMANDEL,COROMANDEL-EQ,EQ,,,
NSE,INE171A01029,1,FEDERALBNK,FEDERALBNK-EQ,EQ,,,
NSE,INE176A01028,1,BATAINDIA,BATAINDIA-EQ,EQ,,,
NSE,INE176B01034,1,HAVELLS,HAVELLS-EQ,EQ,,,
NSE,INE180A01020,1,MFSL,MFSL-EQ,EQ,,,
NSE,INE182A01018,1,PFIZER,PFIZER-EQ,EQ,,,
NSE,INE191H01014,1,PVRINOX,PVRINOX-EQ,EQ,,,
NSE,INE196A01026,1,MARICO,MARICO-EQ,EQ,,,
NSE,INE203G01027,1,IGL,IGL-EQ,EQ,,,
NSE,INE205A01025,1,VEDL,VEDL-EQ,EQ,,,
NSE,INE208A01029,1,ASHOKLEY,ASHOKLEY-EQ,EQ,,,
NSE,INE214T01019,1,LTIM,LTIM-EQ,EQ,,,
NSE,INE226A01021,1,VOLTAS,VOLTAS-EQ,EQ,,,
NSE,INE242A01010,1,IOC,IOC-EQ,EQ,,,
NSE,INE245A01021,1,TATAPOWER,TATAPOWER-EQ,EQ,,,
NSE,INE246F01010,1,GSPL,GSPL-EQ,EQ,,,
NSE,INE256A01028,1,ZEEL,ZEEL-EQ,EQ,,,
